,IRIS,COM,ANNEE,P_POP,P_POP0002,P_POP0305,P_POP0610,P_POP1117,P_POP1824,P_POP2539,P_POP4054,P_POP5564,P_POP6579,P_POP80P
35,690810104,69081,2012,1789.5273343334538,50.30875988934467,75.19780792939181,109.28319698520333,204.80126149837812,181.44016416527032,203.77409299925046,372.9022296971082,270.7564174576549,268.55391874221954,52.50948496963239
36,690810201,69081,2013,2320.247189333033,49.50471822540463,65.51428140856751,79.7780494104434,188.2312442683826,902.626975184262,338.1300738684772,298.1084192187914,114.5827261152188,210.00543115556792,73.7652704779177
37,690810301,69081,2013,2922.220539824477,124.563616950919,87.2695996207201,193.5392595829485,294.4768616817028,291.22857240773004,467.5717674678549,609.2454003673645,330.18058540443354,371.0688686050141,153.0760077357894
38,690810202,69081,2013,1813.5876437223155,46.0643687854676,35.61499697230907,92.3905542973449,74.43824380234659,222.94007763421715,381.8914278662072,232.4396318131328,223.0582639929577,240.1581103157096,264.59196824262307
39,690810105,69081,2013,2162.9199188097136,49.29267305678306,64.71069136041027,157.8770857639352,230.32290497550943,255.876744220026,294.06769835627523,450.6342811264989,288.8684491487851,255.82794260838617,115.44144819310404
40,690810302,69081,2013,2869.6165188942005,65.41924183246094,69.66529152065135,128.31012348011046,252.16536610894897,205.2684858464565,322.29686089317744,485.7998855816353,347.37819158376885,643.3481976594344,349.9648743875562
41,690810103,69081,2013,84.15049481022974,0.0,0.0,0.0,0.0,16.5963486393006,5.40355275633808,17.85081423581353,9.55263991616323,27.73119079165899,7.01594847095532
42,690810102,69081,2013,1836.086096759096,93.62052112746936,87.4868233013004,108.35909480387448,159.89440747697236,130.09900099978302,340.5284700064888,333.1572320814692,190.66555533345576,233.31650730755285,158.95848432072958
43,690810101,69081,2013,1935.241008778445,119.85355220706325,103.79841682896524,191.88050459265835,180.75021764785595,187.96591978114063,339.25433527807434,354.64832025015386,188.0193766399992,199.0195509949466,70.0508145575878
44,690810104,69081,2013,1842.930589068489,39.30339942392994,79.9775483954865,118.84074522626844,208.78225505607364,214.78130203916663,188.14933637868185,401.0354765523349,246.0888016104772,302.35695838016267,43.61476600590757
